f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,class
9.243,14.45,15.893,6.779,14.922,3.812,0.203,26.824,6.301,20.031,-4.85,5.766,13.962,2.827,1.031,12.135,-10.025,-7.672,0.722,-10.025,-13.622,1.364,0.727,8.803,G,F
15.032,10.88,16.208,3.505,14.043,0.734,4.829,9.329,8.925,14.085,-8.617,-5.483,2.037,0.638,-3.809,2.198,-8.799,-19.244,6.752,-4.841,-12.709,4.414,1.237,9.142,I,E
7.713,13.201,8.377,14.342,4.328,2.448,3.65,8.43,11.028,14.683,-9.246,2.772,2.67,0.945,-1.49,3.51,-7.039,-14.89,4.399,-9.246,-8.124,0.238,4.3,8.527,J,G
14.215,8.621,13.599,11.358,5.321,2.19,3.261,9.99,11.174,6.907,-4.726,3.217,7.217,1.251,-0.175,4.825,-12.831,-29.721,13.883,-4.726,-15.491,7.064,1.402,9.435,I,H
12.055,11,15.303,12.358,9.638,3.352,3.863,14.735,10.64,16.527,-4.397,-2.023,1.197,1.395,-2.275,2.725,-11.195,-5.539,2.69,-11.195,-2.295,5.311,0.712,2.86,E,C
9.856,10.198,6.965,14.809,3.981,2.577,3.967,8.926,12.732,6.148,-9.471,0.211,4.211,0.128,-2.613,2.387,-10.089,-7.065,1.052,-9.471,-6.784,0.881,1.093,7.712,H,G
8.009,11.116,16.905,15.463,10.065,2.551,2.059,8.257,12.062,7.335,1.715,3.084,7.084,1.245,1.38,6.38,-8.193,-3.573,1.986,-8.193,1.554,6.086,0.571,6.774,F,C
9.678,12.566,6.728,18.455,4.049,3.296,4.026,22.237,6.912,21.598,-10.385,2.081,12.966,2.661,-2.062,2.938,5.603,-15.243,19.035,-10.385,-3.101,3.932,2.2,0.418,C,A
6.036,13.825,8.864,14.011,6.07,2.235,1.792,17.04,4.474,21.837,0.892,14.219,12.349,2.558,5.814,10.814,-5.624,-19.448,10.28,0.892,-2.502,1.251,2.867,4.398,I,I
10.237,9.374,15.925,8.571,12.264,0.305,3.86,8.588,12.507,8.999,-22.779,-1.059,-4.235,0.83,-6.469,-1.469,-5.208,-13.14,4.468,-22.779,-12.488,6.602,0.823,4.28,F,H
19.197,4.907,20.875,5.866,10.345,2.238,3.177,7.73,10.112,7.923,7.652,4.092,8.092,2.265,4.326,3.215,-10.322,-10.162,0.013,-10.322,-22.188,8.175,0.04,8.227,B,B
13.918,6.53,20.894,4.935,16.372,2.75,1.576,21.834,6.951,20.043,15.126,3.598,9.798,3.013,8.063,8.665,-6.515,-4.726,0.478,-6.515,-17.924,7.707,0.249,8.694,E,G
8.927,15.518,14.595,9.559,12.478,2.582,2.03,10.227,12.371,16.304,-14.746,6.918,5.572,0.828,-1.137,3.863,-9.36,-9.954,0.092,-9.36,-20.381,7.318,0.112,2.027,B,B
12.44,12.128,17.057,12.519,9.792,2.217,3.389,30.49,4.94,20.394,-3.076,-0.132,11.455,2.409,-1.157,3.843,1.353,-0.431,0.476,-3.076,-2.58,0.07,2.613,4.927,I,C
29.44,4.595,19.759,18.497,6.014,3.702,0.292,6.574,10.517,7.694,-6.468,3.728,7.728,2.59,-0.397,4.603,-13.895,-19.332,2.536,-6.468,-16.388,6.249,0.637,0.85,B,I
12.851,9.159,15.868,14.297,3.383,3.582,5.626,12.258,10.892,15.879,-7.444,-2.783,4.837,1.289,-3.354,1.646,-31.415,-6.69,24.589,6.26,-13.428,17.471,1.186,9.36,I,I
18.622,9.553,19.049,15.88,5.505,1.059,5.272,8.126,10.043,15.132,-5.48,-3.565,5.208,2.074,-3.189,1.811,-22.752,-14.065,5.122,-5.48,-12.673,3.858,1.152,4.448,G,I
7.985,12.583,9.942,14.12,12.089,3.406,5.354,8.791,11.624,16.569,0.212,0.086,1.582,0.764,-0.245,4.755,2.136,5.452,1.208,2.136,-16.676,16.319,0.272,0.892,B,B
8.157,11.66,9.564,13.315,12.746,1.458,3.867,12.926,10.874,17.163,-0.892,-6.021,0.432,0.572,-3.065,1.935,-5.334,-3.039,0.695,-5.334,-0.764,1.954,0.597,3.813,E,J
15.372,14.112,14.222,5.282,15.427,2.523,2.555,21.735,6.793,20.224,-15.323,2.779,9.698,2.116,-3.006,8.582,-5.518,-18.914,9.806,-1.323,-14.774,9.867,0.997,4.879,G,I
8.195,12.36,6.094,10.777,11.406,2.897,0.715,15.47,9.056,15.982,-4.992,-0.73,3.943,1.157,-1.885,3.115,9.18,-8.643,15.049,-4.992,-13.037,4.564,1.816,7.128,I,H
29.893,6.725,20.189,6.305,17.489,2.843,4.538,15.133,8.952,14.115,-0.343,-4.984,0.504,1.466,0.328,0.92,-2.466,-3.391,0.178,-2.466,-13.871,7.704,0.152,7.422,C,D
16.848,6.381,21.338,10.167,10.218,2.654,3.39,14.564,9.295,19.178,-4,-1.493,9.128,2.663,-1.956,3.044,-12.933,-20.304,4.002,-9.132,-14.822,2.715,1.214,8.824,I,I
8.314,10.834,8.79,7.552,14.61,3.94,2.967,6.277,13.373,9.592,-11.856,1.07,5.07,0.128,-2.852,2.148,-4.29,-15.683,7.692,-11.856,-7.861,1.597,2.195,4.091,H,H
13.069,12.594,16.335,8.82,14.157,0.611,5.224,12.791,12.73,16.211,-13.047,-4.783,1.965,1.183,-5.588,-0.588,2.703,-8.815,7.817,-13.047,-10.696,0.721,3.294,4.046,I,F
15.218,14.148,12.189,17.797,3.269,2.122,2.871,27.892,8.901,19.775,-10.372,1.686,5.722,1.454,-2.224,2.776,-6.78,-15.331,5.001,-10.372,-8.518,0.505,3.148,4.935,I,H
8.524,12.505,15.197,18.437,5.386,1.453,3.101,28.817,9.724,21.592,-9.422,-1.899,9.957,2.16,-3.48,1.52,-17.441,-14.196,1.169,-9.422,-17.201,4.339,0.519,6.218,F,A
9.359,11.976,9.808,18.429,4.338,2.808,5.059,27.756,4.184,21.4,-9.484,6.412,9.599,2.1,-0.033,4.967,-12.643,-17.932,2.433,-9.484,-21.23,8.052,0.55,2.019,C,J
17.568,6.492,21.947,14.256,8.515,3.315,4.83,8.845,13.166,9.947,0.961,-0.24,3.76,2.099,-0.193,4.807,13.404,5.928,4.088,13.404,-26.207,49.859,0.286,4.331,D,I
28.441,7.274,21.844,15.131,3.114,3.68,2.252,8.906,10.074,8.76,-6.752,2.697,6.697,1.456,-0.898,4.102,-9.62,-9.621,0,-6.752,-8.155,0.332,0.007,0.302,A,H
6.262,13.486,9.489,5.427,14.707,2.181,3.659,17.571,5.805,21.755,-17.564,-4.333,10.95,2.325,-6.53,9.625,-11.509,-12.378,0.162,0.775,-19.288,17.973,0.095,9.297,C,J
6.284,13.512,8.513,6.561,17.47,3.617,2.692,8.553,8.895,14.737,2.091,3.254,2.062,0.844,1.511,6.511,-18.331,-7.524,7.105,7.372,-9.267,13.575,0.723,8.769,G,H
7.843,10.055,6.937,12.884,9.936,2.07,2.244,9.431,12.517,7.626,-1.402,7.172,11.172,0.127,2.304,7.304,4.195,-2.759,3.668,4.195,-5.041,5.614,0.808,0.142,A,F
15.243,15.194,15.548,17.888,2.928,2.564,5.744,7.296,11.151,7.054,-8.789,-8.6,-10.71,1.11,-6.114,-1.114,-5.697,-13.283,4.179,-8.789,-7.216,0.394,3.255,4.534,I,B
13.309,4.524,19.798,4.34,14.675,3.556,5.052,18.02,6.491,19.579,12.911,17.219,8.738,2.791,6.956,7.782,9.029,4.875,1.693,9.029,-16.703,26.107,0.255,0.913,B,I
10.469,8.734,16.014,13.889,11.343,1.141,5.859,13.247,12.623,12.157,-2.779,-2.324,2.444,0.607,-1.996,3.004,6.235,-2.332,5.015,6.235,-5.893,8.447,0.771,0.531,B,B
23.067,7.28,21.305,16.901,2.958,2.505,4.898,8.425,10.401,12.952,-7.495,-1.803,3.605,2.101,-2.958,2.042,8.109,-1.168,5.651,8.109,-7.6,12.452,0.674,9.29,G,A
